,date,txn_count
1893,2017-06-17,525077
1894,2017-06-18,477712
1895,2017-06-19,420977
1896,2017-06-20,405305
1897,2017-06-21,405830
1898,2017-06-22,418116
1899,2017-06-23,495083
1900,2017-06-24,528808
1901,2017-06-25,526834
1902,2017-06-26,448654
1903,2017-06-27,415690
1904,2017-06-28,416902
1905,2017-06-29,446932
1906,2017-06-30,586111
1907,2017-07-01,575902
1908,2017-07-02,511297
1909,2017-07-03,491738
1910,2017-07-04,491190
1911,2017-07-05,483685
1912,2017-07-06,457460
1913,2017-07-07,520665
1914,2017-07-08,536001
1915,2017-07-09,527019
1916,2017-07-10,439763
1917,2017-07-11,411861
1918,2017-07-12,401248
1919,2017-07-13,411736
1920,2017-07-14,536166
1921,2017-07-15,558855
1922,2017-07-16,551961
1923,2017-07-17,455384
1924,2017-07-18,415182
1925,2017-07-19,418222
1926,2017-07-20,438804
1927,2017-07-21,520700
1928,2017-07-22,550875
1929,2017-07-23,552637
1930,2017-07-24,456279
1931,2017-07-25,425706
1932,2017-07-26,427514
1933,2017-07-27,450947
1934,2017-07-28,544778
1935,2017-07-29,579827
1936,2017-07-30,579579
1937,2017-07-31,538295
1938,2017-08-01,537278
1939,2017-08-02,492061
1940,2017-08-03,483113
1941,2017-08-04,558958
1942,2017-08-05,563927
1943,2017-08-06,549539
1944,2017-08-07,476437
1945,2017-08-08,443261
1946,2017-08-09,444994
1947,2017-08-10,468092
1948,2017-08-11,555330
1949,2017-08-12,555599
1950,2017-08-13,545961
1951,2017-08-14,489019
1952,2017-08-15,512867
1953,2017-08-16,490021
1954,2017-08-17,498841
1955,2017-08-18,589614
1956,2017-08-19,598230
1957,2017-08-20,611195
1958,2017-08-21,523090
1959,2017-08-22,524549
1960,2017-08-23,538473
1961,2017-08-24,544408
1962,2017-08-25,656003
1963,2017-08-26,706152
1964,2017-08-27,893556
1965,2017-08-28,604176
1966,2017-08-29,571872
1967,2017-08-30,583214
1968,2017-08-31,674415
1969,2017-09-01,817486
1970,2017-09-02,743876
1971,2017-09-03,687394
1972,2017-09-04,687669
1973,2017-09-05,646671
1974,2017-09-06,613585
1975,2017-09-07,636030
1976,2017-09-08,729653
1977,2017-09-09,742467
1978,2017-09-10,733319
1979,2017-09-11,571557
1980,2017-09-12,536060
1981,2017-09-13,530648
1982,2017-09-14,554847
1983,2017-09-15,738610
1984,2017-09-16,760662
1985,2017-09-17,749874
1986,2017-09-18,588018
1987,2017-09-19,540509
1988,2017-09-20,544648
1989,2017-09-21,570327
1990,2017-09-22,705373
1991,2017-09-23,755121
1992,2017-09-24,745837
1993,2017-09-25,609634
1994,2017-09-26,563067
1995,2017-09-27,560765
1996,2017-09-28,602932
1997,2017-09-29,794197
1998,2017-09-30,806037
1999,2017-10-01,835489
2000,2017-10-02,683855
2001,2017-10-03,607853
2002,2017-10-04,587381
2003,2017-10-05,616493
2004,2017-10-06,739470
2005,2017-10-07,759841
2006,2017-10-08,746236
2007,2017-10-09,610417
2008,2017-10-10,576828
2009,2017-10-11,572557
2010,2017-10-12,598551
2011,2017-10-13,752251
2012,2017-10-14,776577
2013,2017-10-15,766639
2014,2017-10-16,638867
2015,2017-10-17,586434
2016,2017-10-18,579277
2017,2017-10-19,604652
2018,2017-10-20,744174
2019,2017-10-21,777609
2020,2017-10-22,770573
2021,2017-10-23,634228
2022,2017-10-24,594429
2023,2017-10-25,602651
2024,2017-10-26,639776
2025,2017-10-27,785001
2026,2017-10-28,833245
2027,2017-10-29,833424
2028,2017-10-30,675563
2029,2017-10-31,674227
2030,2017-11-01,727580
2031,2017-11-02,688214
2032,2017-11-03,783198
2033,2017-11-04,801433
2034,2017-11-05,768914
2035,2017-11-06,632143
2036,2017-11-07,579079
2037,2017-11-08,578225
2038,2017-11-09,625979
2039,2017-11-10,756177
2040,2017-11-11,797073
2041,2017-11-12,784299
2042,2017-11-13,629739
2043,2017-11-14,591083
2044,2017-11-15,636604
